ISO3,country,short_country,status,wesp_region,wesp_subregion,country_code,LDC,LLDC,SIDS
NGA,Nigeria,Nigeria,DVG,Africa,West Africa,566,0,0,0
MKD,North Macedonia,North_Macedonia,EIT,South-Eastern Europe,NA,807,0,1,0
NOR,Norway,Norway,DVD,Europe,Other Europe,578,0,0,0
OMN,Oman,Oman,DVG,Asia,Western Asia,512,0,0,0
PAK,Pakistan,Pakistan,DVG,Asia,South Asia,586,0,0,0
PAN,Panama,Panama,DVG,Latin America and the Caribbean,Mexico and Central America,591,0,0,0
PNG,Papua New Guinea,Papua_New_G,DVG,Asia,East Asia,598,0,0,1
PRY,Paraguay,Paraguay,DVG,Latin America and the Caribbean,South America,600,0,1,0
PER,Peru,Peru,DVG,Latin America and the Caribbean,South America,604,0,0,0
PHL,Philippines,Philippines,DVG,Asia,East Asia,608,0,0,0
POL,Poland,Poland,DVD,Europe,European Union,616,0,0,0
PRT,Portugal,Portugal,DVD,Europe,European Union,620,0,0,0
QAT,Qatar,Qatar,DVG,Asia,Western Asia,634,0,0,0
KOR,Republic of Korea,Rep_Korea,DVD,Developed Asia and the Pacific,NA,410,0,0,0
MDA,Republic of Moldova,Moldova,EIT,Commonwealth of Independent States and Georgia,NA,498,0,1,0
ROU,Romania,Romania,DVD,Europe,European Union,642,0,0,0
RUS,Russian Federation,Russian_Fed,EIT,Commonwealth of Independent States and Georgia,NA,643,0,0,0
RWA,Rwanda,Rwanda,DVG,Africa,East Africa,646,1,1,0
WSM,Samoa,Samoa,DVG,Asia,East Asia,882,0,0,1
STP,Sao Tome and Principe,Sao_Tome_Prin,DVG,Africa,Central Africa,678,1,0,1
SAU,Saudi Arabia,Saudi_Arabia,DVG,Asia,Western Asia,682,0,0,0
SEN,Senegal,Senegal,DVG,Africa,West Africa,686,1,0,0
SRB,Serbia,Serbia,EIT,South-Eastern Europe,NA,688,0,0,0
SLE,Sierra Leone,Sierra_Leone,DVG,Africa,West Africa,694,1,0,0
SGP,Singapore,Singapore,DVG,Asia,East Asia,702,0,0,1
SVK,Slovakia,Slovakia,DVD,Europe,European Union,703,0,0,0
SVN,Slovenia,Slovenia,DVD,Europe,European Union,705,0,0,0
SLB,Solomon Islands,Solomon_Isl,DVG,Asia,East Asia,090,0,0,0
SOM,Somalia,Somalia,DVG,Africa,East Africa,706,1,0,0
ZAF,South Africa,South_Africa,DVG,Africa,Southern Africa,710,0,0,0
SSD,South Sudan,South_Sudan,DVG,Africa,East Africa,728,1,1,0
ESP,Spain,Spain,DVD,Europe,European Union,724,0,0,0
LKA,Sri Lanka,Sri_Lanka,DVG,Asia,South Asia,144,0,0,0
PSE,State of Palestine,Palestine,DVG,Asia,Western Asia,275,0,0,0
SDN,Sudan,Sudan,DVG,Africa,North Africa,729,1,0,0
SUR,Suriname,Suriname,DVG,Latin America and the Caribbean,Caribbean,740,0,0,1
SWE,Sweden,Sweden,DVD,Europe,European Union,752,0,0,0
CHE,Switzerland,Switzerland,DVD,Europe,Other Europe,756,0,0,0
SYR,Syrian Arab Republic,Syria,DVG,Asia,Western Asia,760,0,0,0
TWN,Taiwan Province of China,Taiwan,DVG,Asia,East Asia,158,0,0,0
TJK,Tajikistan,Tajikistan,EIT,Commonwealth of Independent States and Georgia,NA,762,0,1,0
THA,Thailand,Thailand,DVG,Asia,East Asia,764,0,0,0
TLS,Timor-Leste,Timor_Leste,DVG,Asia,East Asia,626,1,0,1
TGO,Togo,Togo,DVG,Africa,West Africa,768,1,0,0
TTO,Trinidad and Tobago,Trinidad_Tob,DVG,Latin America and the Caribbean,Caribbean,780,0,0,1
TUN,Tunisia,Tunisia,DVG,Africa,North Africa,788,0,0,0
TUR,Türkiye,Turkey,DVG,Asia,Western Asia,792,0,0,0
TKM,Turkmenistan,Turkmenistan,EIT,Commonwealth of Independent States and Georgia,NA,795,0,1,0
UGA,Uganda,Uganda,DVG,Africa,East Africa,800,1,1,0
UKR,Ukraine,Ukraine,EIT,Commonwealth of Independent States and Georgia,NA,804,0,0,0
ARE,United Arab Emirates,UAE,DVG,Asia,Western Asia,784,0,0,0
GBR,United Kingdom of Great Britain and Northern Ireland,UK,DVD,Europe,Other Europe,826,0,0,0
TZA,United Republic of Tanzania,Tanzania,DVG,Africa,East Africa,834,1,0,0
USA,United States of America,USA,DVD,North America,NA,840,0,0,0
URY,Uruguay,Uruguay,DVG,Latin America and the Caribbean,South America,858,0,0,0
UZB,Uzbekistan,Uzbekistan,EIT,Commonwealth of Independent States and Georgia,NA,860,0,1,0
VUT,Vanuatu,Vanuatu,DVG,Asia,East Asia,548,1,0,1
VEN,Venezuela (Bolivarian Republic of),Venezuela,DVG,Latin America and the Caribbean,South America,862,0,0,0
VNM,Viet Nam,Viet_Nam,DVG,Asia,East Asia,704,0,0,0
YEM,Yemen,Yemen,DVG,Asia,Western Asia,887,1,0,0
ZMB,Zambia,Zambia,DVG,Africa,Southern Africa,894,1,1,0
ZWE,Zimbabwe,Zimbabwe,DVG,Africa,Southern Africa,716,0,1,0
